,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
11824,33.075243,-97.110184,https://www.realtor.com/realestateandhomes-detail/9100-Brownwood-Ave_Lantana_TX_76226_M87782-98588,Lantana,TX,76226.0,Active,Single Family Home,nan,439900.0,4.0,2.0,1.0,3128.0,0.20899908172635445,7.0,2016.0,357929.0587901416,81970.9412098584
11829,33.104605,-97.125422,https://www.realtor.com/realestateandhomes-detail/8910-Charles-St_Lantana_TX_76226_M73294-74073,Lantana,TX,76226.0,Active,Single Family Home,Traditional,589000.0,5.0,4.0,1.0,4558.0,0.32,8.0,2007.0,1266018.4803869964,-677018.4803869964
11830,33.189425,-96.853103,https://www.realtor.com/realestateandhomes-detail/3986-Attu-Dr_Frisco_TX_75033_M86068-53364,Frisco,TX,75033.0,Active,Single Family Home,Traditional,701945.0,3.0,3.0,1.0,3192.0,0.28,9.0,2019.0,466136.14761269814,235808.85238730186
11831,33.001243,-96.880335,https://www.realtor.com/realestateandhomes-detail/2032-Christie-Ln_Carrollton_TX_75007_M88619-28134,Carrollton,TX,75007.0,Active,Single Family Home,Traditional,315000.0,3.0,2.0,0.0,2091.0,0.15798898071625345,9.0,1974.0,372469.06907956535,-57469.06907956535
11832,33.105727,-97.235619,https://www.realtor.com/realestateandhomes-detail/1724-Henderson-Dr_Argyle_TX_76226_M88198-87380,Argyle,TX,76226.0,Active,Single Family Home,nan,288000.0,4.0,2.0,0.0,2044.0,0.14499540863177227,31.0,2015.0,272011.0258259645,15988.97417403548
11833,33.42266,-97.145908,https://www.realtor.com/realestateandhomes-detail/4850-Huling-Rd_Sanger_TX_76266_M83500-42199,Sanger,TX,76266.0,Active,Single Family Home,Traditional,429000.0,4.0,2.0,1.0,2478.0,2.4,31.0,2015.0,250034.05596988954,178965.94403011046
11835,33.021546,-97.299932,https://www.realtor.com/realestateandhomes-detail/15824-Mirasol-Dr_Fort-Worth_TX_76177_M73689-79518,Fort Worth,TX,76177.0,Active,Single Family Home,nan,239000.0,3.0,2.0,0.0,1840.0,0.11701101928374656,31.0,2009.0,320677.21678086,-81677.21678085998
11838,33.033947,-97.02995899999999,https://www.realtor.com/realestateandhomes-detail/928-Ramblewood-Dr_Lewisville_TX_75067_M87551-43844,Lewisville,TX,75067.0,Active,Single Family Home,nan,222000.0,2.0,2.0,0.0,1466.0,0.09600550964187328,31.0,1985.0,395947.625636301,-173947.625636301
11839,33.010054,-97.248375,https://www.realtor.com/realestateandhomes-detail/1009-W-Bluff-Way_Roanoke_TX_76262_M89426-78660,Roanoke,TX,76262.0,Active,Single Family Home,Traditional,450000.0,4.0,3.0,0.0,3473.0,0.19800275482093663,12.0,2015.0,437994.01727379777,12005.98272620223
11840,33.173283000000005,-96.90069100000001,https://www.realtor.com/realestateandhomes-detail/2332-Chestnut-Dr_Little-Elm_TX_75068_M83101-26555,Little Elm,TX,75068.0,Active,Single Family Home,nan,239999.0,4.0,2.0,0.0,2086.0,0.1370064279155188,31.0,2001.0,293331.37657183124,-53332.376571831235
